id,name,sex,age,height,weight,country,year,season,sport,event,medal,athletes,totalmedals,topathletes
2469,Virgilijus Alekna,M,36,200.0,130.0,Lithuania,2008,Summer,Athletics,Athletics Men's Discus Throw,Bronze,1116,1,2
2497,Artur Aleksanyan,M,20,190.0,98.0,Armenia,2012,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,1023,1,1
2497,Artur Aleksanyan,M,24,190.0,98.0,Armenia,2016,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,1054,1,1
2517,Milan Aleksi,M,26,193.0,96.0,Serbia,2012,Summer,Water Polo,Water Polo Men's Water Polo,Bronze,1023,1,1
2517,Milan Aleksi,M,30,193.0,96.0,Serbia,2016,Summer,Water Polo,Water Polo Men's Water Polo,Gold,1054,1,1
2546,Alessandra dos Santos de Oliveira,F,26,200.0,85.0,Brazil,2000,Summer,Basketball,Basketball Women's Basketball,Bronze,880,1,0
2559,Alex Sandro Lobo Silva,M,21,177.0,60.0,Brazil,2012,Summer,Football,Football Men's Football,Silver,1023,1,0
2583,Buffy-Lynne Alexander-Williams,F,23,170.0,69.0,Canada,2000,Summer,Rowing,Rowing Women's Coxed Eights,Bronze,880,1,0
2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18,179.0,71.0,Brazil,2008,Summer,Football,Football Men's Football,Bronze,1116,1,0
2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22,179.0,71.0,Brazil,2012,Summer,Football,Football Men's Football,Silver,1023,1,0
2608,Yevgeny Vasilyevich Aleynikov,M,33,181.0,88.0,Russia,2000,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze,1124,1,0
2610,Abdoul Razak Issoufou Alfaga,M,21,207.0,90.0,Niger,2016,Summer,Taekwondo,Taekwondo Men's Heavyweight,Silver,1054,1,0
2651,Sara Anneli Algotsson Ostholt,F,37,163.0,56.0,Sweden,2012,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,918,1,0
2695,Nia Sifaatihii Ali,F,27,170.0,65.0,United States,2016,Summer,Athletics,Athletics Women's 100 metres Hurdles,Silver,969,1,0
2735,Sergey Gennadyevich Alifirenko,M,41,168.0,72.0,Russia,2000,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,1124,1,1
2735,Sergey Gennadyevich Alifirenko,M,45,168.0,72.0,Russia,2004,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze,1103,1,1
2739,Mirko Alilovi,M,26,200.0,110.0,Croatia,2012,Summer,Handball,Handball Men's Handball,Bronze,1023,1,0
2750,Aline Pellegrino,F,22,180.0,71.0,Brazil,2004,Summer,Football,Football Women's Football,Silver,898,1,0
2755,Aleksey Aleksandrovich Alipov,M,29,175.0,80.0,Russia,2004,Summer,Shooting,Shooting Men's Trap,Gold,1103,1,1
2755,Aleksey Aleksandrovich Alipov,M,32,175.0,80.0,Russia,2008,Summer,Shooting,Shooting Men's Trap,Bronze,1116,1,1
2758,Alison Conte Cerutti,M,26,203.0,106.0,Brazil-1,2012,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,1023,1,1
2758,Alison Conte Cerutti,M,30,203.0,106.0,Brazil-1,2016,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,1054,1,1
2760,Deji Aliu,M,28,187.0,75.0,Nigeria,2004,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,1103,1,0
2762,Margarita Sergeyevna Aliychuk,F,17,174.0,48.0,Russia,2008,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,932,1,1
2769,Kimia Alizadeh Zenoorin,F,18,185.0,57.0,Iran,2016,Summer,Taekwondo,Taekwondo Women's Featherweight,Bronze,969,1,0
2794,Mohamed Allalou,M,26,174.0,63.0,Algeria,2000,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze,1124,1,0
2849,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34,163.0,53.0,Austria,2004,Summer,Triathlon,Triathlon Women's Olympic Distance,Gold,898,1,1
2850,"Kate Ruth ""Katie"" Allen",F,26,170.0,65.0,Australia,2000,Summer,Hockey,Hockey Women's Hockey,Gold,880,1,1
2861,Nathon Allen,M,20,178.0,72.0,Jamaica,2016,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,1054,1,0
2863,Walter Ray Allen,M,25,192.0,93.0,United States,2000,Summer,Basketball,Basketball Men's Basketball,Gold,1124,1,1
2874,Wyatt Allen,M,25,193.0,98.0,United States,2004,Summer,Rowing,Rowing Men's Coxed Eights,Gold,1103,1,1
2874,Wyatt Allen,M,29,193.0,98.0,United States,2008,Summer,Rowing,Rowing Men's Coxed Eights,Bronze,1116,1,1
